,Coin,Pair_tuple,Exchange
465,POE,BTC,Binance
466,POA,BTC,Binance
467,PLBT,BTC,Hitbtc
468,POLY,BTC,Binance
469,NCT,BTC,Hitbtc
470,PPT,BTC,Binance
471,POT,BTC,Bittrex
472,POWR,BTC,Binance
473,PRE,BTC,Hitbtc
474,PST,BTC,Okex
475,XPM,BTC,Poloniex
476,PRA,BTC,Okex
477,PROC,BTC,Hitbtc
478,PAI,BTC,Bitfinex
479,PRO,BTC,Bittrex
480,PBL,BTC,Kucoin
481,PMA,BTC,Hitbtc
482,NPXS,BTC,Binance
483,PURA,BTC,Kucoin
484,QLC,BTC,Binance
485,QTUM,BTC,Binance
486,QNTU,BTC,Hitbtc
487,QSP,BTC,Binance
488,QRL,BTC,Bittrex
489,QKC,BTC,Binance
490,QUN,BTC,Okex
491,QWARK,BTC,Bittrex
492,RADS,BTC,Bittrex
493,RDN,BTC,Binance
494,RVN,BTC,Bittrex
495,RHOC,BTC,Kucoin
496,READ,BTC,Okex
497,RCT,BTC,Okex
498,PHX,BTC,Binance
499,RDD,BTC,Bittrex
500,RFR,BTC,Bittrex
501,BERRY,BTC,Hitbtc
502,REN,BTC,Okex
503,REQ,BTC,Binance
504,MWAT,BTC,Kucoin
505,R,BTC,Okex
506,RVR,BTC,Bittrex
507,RCN,BTC,Binance
508,RVT,BTC,Hitbtc
509,RBY,BTC,Bittrex
510,SALT,BTC,Binance
511,SLS,BTC,Bittrex
512,SVD,BTC,Hitbtc
513,B2X,BTC,Hitbtc
514,KEY,BTC,Binance
515,SSC,BTC,Okex
516,SENT,BTC,Hitbtc
517,UPP,BTC,Bittrex
518,SEQ,BTC,Bittrex
519,SETH,BTC,Hitbtc
520,SHIFT,BTC,Bittrex
521,SHIP,BTC,Hitbtc
522,OMX,BTC,Kucoin
523,SHOW,BTC,Okex
524,SC,BTC,Binance
525,SIB,BTC,Bittrex
526,SNGLS,BTC,Binance
527,AGI,BTC,Binance
528,SRN,BTC,Bittrex
529,SDA,BTC,Okex
530,SKIN,BTC,Hitbtc
531,SKY,BTC,Binance
532,SMART,BTC,Hitbtc
533,SMT,BTC,Hitbtc
534,SSP,BTC,Okex
535,SNOV,BTC,Kucoin
536,SCL,BTC,Hitbtc
537,SLR,BTC,Bittrex
538,XLR,BTC,Kucoin
539,SNM,BTC,Binance
540,SPHTX,BTC,Kucoin
541,SPC,BTC,Hitbtc
542,SIG,BTC,Hitbtc
543,SMS,BTC,Hitbtc
544,SPHR,BTC,Bittrex
545,SPD,BTC,Hitbtc
546,SPF,BTC,Okex
547,SPR,BTC,Bittrex
548,STC,BTC,Okex
549,SNT,BTC,Binance
550,XST,BTC,Bittrex
551,STEEM,BTC,Binance
552,SBD,BTC,Bittrex
553,XLM,BTC,Binance
554,STK,BTC,Kucoin
555,SCC,BTC,Hitbtc
556,STQ,BTC,Hitbtc
557,STORJ,BTC,Binance
558,STORM,BTC,Binance
559,STX,BTC,Hitbtc
560,STAK,BTC,Hitbtc
561,STRAT,BTC,Binance
562,DATA,BTC,Binance
563,SUB,BTC,Binance
564,SNC,BTC,Okex
565,SBTC,BTC,Okex
566,SUR,BTC,Hitbtc
567,SWM,BTC,Hitbtc
568,SWT,BTC,Bittrex
569,SWFTC,BTC,Okex
570,CHSB,BTC,Kucoin
571,SYNX,BTC,Bittrex
572,AMP,BTC,Bittrex
573,SYS,BTC,Binance
574,TAAS,BTC,Hitbtc
575,TGT,BTC,Hitbtc
576,TTU,BTC,Hitbtc
577,TCN,BTC,Hitbtc
578,TFD,BTC,Kucoin
579,TEL,BTC,Kucoin
580,PAY,BTC,Okex
581,XTZ,BTC,Bitfinex
582,ABYSS,BTC,Hitbtc
583,TKY,BTC,Kucoin
584,GET,BTC,Hitbtc
585,THETA,BTC,Binance
586,TNT,BTC,Binance
587,TNB,BTC,Binance
588,TKN,BTC,Hitbtc
589,TCT,BTC,Okex
590,TDS,BTC,Hitbtc
591,TKS,BTC,Bittrex
592,TKA,BTC,Hitbtc
593,TOMO,BTC,Kucoin
594,TOPC,BTC,Okex
595,TIO,BTC,Kucoin
596,BBC,BTC,Hitbtc
597,TX,BTC,Bittrex
598,TMT,BTC,Kucoin
599,TRIG,BTC,Binance
600,TNC,BTC,Kucoin
601,TRIO,BTC,Okex
602,TRX,BTC,Okex
603,TRUE,BTC,Okex
604,TFL,BTC,Kucoin
605,TUSD,BTC,Binance
606,TRUST,BTC,Bittrex
607,UUU,BTC,Hitbtc
608,UBQ,BTC,Bittrex
609,UCT,BTC,Okex
610,UGC,BTC,Okex
611,UT,BTC,Kucoin
612,UNB,BTC,Bittrex
613,UKG,BTC,Bittrex
614,UTT,BTC,Hitbtc
615,UP,BTC,Bittrex
616,USE,BTC,Kucoin
617,UTK,BTC,Kucoin
618,VET,BTC,Binance
619,XVG,BTC,Binance
620,VRC,BTC,Bittrex
621,VERI,BTC,Hitbtc
622,VRM,BTC,Bittrex
623,VTC,BTC,Bittrex
624,VIA,BTC,Binance
625,VIBE,BTC,Binance
626,VIB,BTC,Binance
627,VIT,BTC,Hitbtc
628,VITE,BTC,Okex
629,VIU,BTC,Okex
630,VOISE,BTC,Hitbtc
631,IPL,BTC,Hitbtc
632,WABI,BTC,Binance
633,WTC,BTC,Binance
634,WAN,BTC,Binance
635,WAVES,BTC,Binance
636,WAX,BTC,Bittrex
637,WPR,BTC,Binance
638,TRST,BTC,Hitbtc
639,XWC,BTC,Bittrex
640,WIKI,BTC,Hitbtc
641,WILD,BTC,Hitbtc
642,WINGS,BTC,Binance
643,WIN,BTC,Okex
644,WRC,BTC,Hitbtc
645,XAUR,BTC,Hitbtc
646,XRP,BTC,Binance
647,YEE,BTC,Okex
648,YOU,BTC,Okex
649,YOYO,BTC,Binance
650,YCC,BTC,Hitbtc
651,ZAP,BTC,Hitbtc
652,ZEC,BTC,Hitbtc
653,ZCL,BTC,Bittrex
654,XZC,BTC,Binance
655,ZCO,BTC,Okex
656,ZPT,BTC,Kucoin
657,ZSC,BTC,Hitbtc
658,ZIL,BTC,Binance
659,ZINC,BTC,Kucoin
660,ZIP,BTC,Okex
661,ZRC,BTC,Hitbtc
